Products , Amt In INR,Links 
Arduino Nano,480,https://robu.in/product/acebott-nano-development-board-with-1m-type-c-cablewith-color-retail-box/
Mpu6050,165,https://robu.in/product/mpu-6050-gyro-sensor-2-accelerometer/
PCB ( JLC),Depends upon the layers you choose to use mine = 20$,
,2443,
